,0,1,2
300,dusk + dawn,Miley Cyrus,Malibu
301,dusk + dawn,Miley Cyrus,Inspired
302,dusk + dawn,Miley Cyrus,Younger Now
303,dusk + dawn,Yusuf / Cat Stevens,Wild World
304,dusk + dawn,Simon & Garfunkel,Bridge Over Troubled Water
305,dusk + dawn,Simon & Garfunkel,The Sound of Silence - Acoustic Version
306,dusk + dawn,Charlie Puth,Change
307,dusk + dawn,James Taylor,Fire and Rain
308,dusk + dawn,Joni Mitchell,Big Yellow Taxi
309,dusk + dawn,Ellie Goulding,Your Song - Bonus Track
310,dusk + dawn,Ellie Goulding,How Long Will I Love You - Bonus Track
311,dusk + dawn,the bird and the bee,How Deep Is Your Love
312,dusk + dawn,Emmy Rossum,Slow Me Down
313,dusk + dawn,ABBA,The Winner Takes It All
314,dusk + dawn,Maggie Rogers,Light On
315,dusk + dawn,Leon Bridges,Forgive You
316,dusk + dawn,Beyoncé,Superpower
317,dusk + dawn,Beyoncé,Blue
318,dusk + dawn,The Marías,Ruthless
319,dusk + dawn,Mikhail Glinka,The Lark
320,dusk + dawn,Edvard Grieg,"Lyric Pieces Book III, Op.43: 2. Solitary Traveller"
321,dusk + dawn,Maurice Ravel,"Ravel: Sonatine, M. 40: II. Mouvement de menuet"
322,dusk + dawn,Rihanna,Close To You
323,dusk + dawn,Johann Sebastian Bach,"The Well-Tempered Clavier: Book 1, BWV 846-869: 1. Prelude in C Major, BWV 846"
324,dusk + dawn,Rachel Platten,Better Place
325,dusk + dawn,LÉON,Surround Me
326,dusk + dawn,Phoebe Ryan,Mine
327,dusk + dawn,LÉON,Dreams - Recorded at Spotify Studios NYC
328,dusk + dawn,Empire of the Sun,Walking On A Dream
329,dusk + dawn,Katzù Oso,Pastel
330,dusk + dawn,The Marías,Cariño
331,dusk + dawn,Father John Misty,Real Love Baby
332,dusk + dawn,Father John Misty,Chateau Lobby #4 (in C for Two Virgins)
333,dusk + dawn,Beach House,Space Song
334,dusk + dawn,Beach House,Lemon Glow
335,dusk + dawn,FKA twigs,Cellophane
336,dusk + dawn,The National,Light Years
